CHAR ID;CHAR NAMES;KEYS;Turkish;English;Spanish;Portuguese;German;French;Italian;Polish;Russian;ChineseSimplified;ChineseTraditional;Japanese;Korean;Indian;Arabic;Bengali;Indonesian;Thai;Vietnamese
1;Althea;itIsReal;Bir saniye, bir şeyler hareket ediyor. Yoksa bu... gerçek mi?;Wait, something’s moving! Is it… real?;Espera, algo se está moviendo! ¿Es… real?;Espere, algo está se movendo! É… real?;Warte, etwas bewegt sich! Ist es… echt?;Attends, quelque chose bouge! C'est… réel?;Aspetta, qualcosa si sta muovendo! È… reale?;Czekaj, coś się porusza! Czy to… prawdziwe?;Подожди, что-то движется! Это… реально?;等等，有东西在动！它是……真的？;等等，有東西在動！它是……真的？;待って、何か動いている！これは…本物？;잠깐, 뭔가 움직이고 있어! 이건… 진짜야?;रुको, कुछ हिल रहा है! यह… असली है?;انتظر، شيء يتحرك! هل هو… حقيقي؟;অপেক্ষা করুন, কিছু নড়াচড়া করছে! এটা কি... আসল?;Tunggu, ada sesuatu yang bergerak! Apakah ini… nyata?;เดี๋ยวก่อน มีบางอย่างกำลังเคลื่อนไหว! มันคือ…ของจริงไหม?;Đợi đã, có cái gì đó đang di chuyển! Nó có… thật không?
1;Althea;wow;Vay be!;Wow!;¡Guau!;Uau!;Wow!;Waouh!;Wow!;Wow!;Вау!;哇！;哇！;わあ！;와우!;वाह!;واو!;ওয়াও!;Wow!;ว้าว!;Ồ!
;;jump;ZIPLA;JUMP;SALTA;PULAR;SPRINGEN;SAUTER;SALTARE;SKOCZ;ПРЫГАТЬ;跳;跳;ジャンプ;점프;कूदना;اقفز;লাফাও;Lompat;กระโดด;Nhảy
;;screaming;*Çığlık atıyor*;*Screaming*;*Gritando*;*Gritando*;*Schreiend*;*Criant*;*Urlando*;*Krzyczy*;*Кричит*;*尖叫*;*尖叫*;*叫ぶ*;*소리치다*;*चिल्लाते हुए*;*يصرخ*;*চিৎকার করছে*;*Berteriak*;*กรีดร้อง*;*La hét*
;;landed;*İniş yaptı*;*Landed*;*Aterrizó*;*Pousou*;*Gelandet*;*Atterri*;*Atterrato*;*Wylądował*;*Приземлился*;*着陆*;*著陸*;*着陸*;*착륙했다*;*उतर गया*;*هبط*;*অবতরণ করেছে*;*Mendarat*;*ลงจอด*;*Hạ cánh*
1;Althea;landedSoFast;Vay be! Çok hızlı düştüm ama acımadı bile.;Wow! I fell so fast, but it didn’t even hurt!;¡Guau! Caí tan rápido, pero ni siquiera me dolió!;Uau! Eu caí tão rápido, mas nem doeu!;Wow! Ich bin so schnell gefallen, aber es tat nicht einmal weh!;Waouh! Je suis tombé si vite, mais ça ne m'a même pas fait mal!;Wow! Sono caduto così in fretta, ma non mi ha nemmeno fatto male!;Wow! Upadłem tak szybko, ale nawet mnie nie bolało!;Вау! Я упал так быстро, но даже не почувствовал боли!;哇！我摔得那么快，但甚至没有受伤！;哇！我摔得那麼快，但甚至沒有受傷！;わあ！私はとても速く落ちましたが、痛くもありませんでした！;와우! 나는 너무 빨리 떨어졌지만 아프지도 않았다!;वाह! मैं इतनी जल्दी गिरा, लेकिन मुझे चोट भी नहीं लगी!;واو! سقطت بسرعة كبيرة، لكنني لم أشعر بأي ألم!;ওয়াও! আমি এত দ্রুত পড়েছিলাম, কিন্তু একটুও ব্যথা লাগেনি!;Wow! Saya jatuh begitu cepat, tapi itu bahkan tidak sakit!;ว้าว! ฉันล้มเร็วมาก แต่ก็ไม่เจ็บเลย!;Wow! Tôi đã ngã rất nhanh, nhưng thậm chí không đau!
1;Althea;whatIsThisPlace;*Etrafa bakarak* Burası neresi?;*Looking Around* What is this place?;*Mirando alrededor* ¿Qué es este lugar?;*Olhando ao redor* Que lugar é este?;*Umsehen* Was ist das für ein Ort?;*Regardant autour* Quel est cet endroit?;*Guardando intorno* Che posto è questo?;*Patrząc wokół* Co to za miejsce?;*Оглядываясь вокруг* Что это за место?;*环顾四周* 这是什么地方？;*環顧四周* 這是什麼地方？;*見渡す* ここは何ですか？;*둘러보며* 여기가 어디지?;*चारों ओर देखते हुए* यह स्थान क्या है?;*نظرت حولها* ما هذا المكان؟;*চারপাশে তাকিয়ে* এটি কোন জায়গা?;*Melihat sekeliling* Apa tempat ini?;*มองไปรอบ ๆ* นี่คือที่ไหน?;*Nhìn quanh* Đây là nơi nào?
1;Althea;snowyNotCold;Her tarafta kar var ama üşümüyorum. Neden acaba?;It's snowy but I'm not cold. I wonder why?;Está nevado, pero no tengo frío. Me pregunto por qué.;Está nevando, mas não estou com frio. Por quê será?;Es schneit, aber mir ist nicht kalt. Warum?;Il neige, mais je n'ai pas froid. Pourquoi?;Sta nevicando, ma non ho freddo. Perché?;Jest śnieżnie, ale nie jest mi zimno. Dlaczego?;Снежно, но мне не холодно. Почему?;下雪了，但我不冷。我想知道为什么？;下雪了，但我不冷。我想知道為什麼？;雪が降っているのに寒くない。なぜだろう？;눈이 오는데 춥지 않다. 왜지?;बर्फबारी हो रही है, लेकिन मुझे ठंड नहीं लग रही। ऐसा क्यों?;إنه يتساقط الثلج، لكني لست بارداً. لماذا؟;চারিদিকে তুষারপাত, কিন্তু আমার ঠান্ডা লাগছে না। কেন?;Ini bersalju tapi saya tidak kedinginan. Kenapa ya?;หิมะตก แต่ฉันไม่หนาวเลย ทำไมล่ะ?;Tuyết rơi nhưng tôi không thấy lạnh. Tại sao nhỉ?
1;Althea;hmmWhatShouldIDoNext;Hmmm acaba ne yapsam?;Hmm what should I do?;Hmm, ¿qué debería hacer?;Hmm, o que eu deveria fazer?;Hmm, was sollte ich tun?;Hmm, que dois-je faire?;Hmm, cosa dovrei fare?;Hmm, co powinienem zrobić?;Хм, что мне делать?;嗯，我该怎么办？;嗯，我該怎麼辦？;うーん、次は何をしようかな？;음, 뭘 해야 하지?;हम्म, मुझे क्या करना चाहिए?;هممم، ماذا يجب أن أفعل؟;হুম, আমি কি করব?;Hmm, apa yang harus saya lakukan?;ฮึม ฉันควรทำอะไรดี?;Hừm, tôi nên làm gì đây?
;;getInHouse;Eve gir.;Get in house.;Entrar en la casa.;Entrar na casa.;Ins Haus gehen.;Entrer dans la maison.;Entra in casa.;Wejdź do domu.;Зайти в дом.;进入房子。;進入房子。;家に入る。;집에 들어가다.;घर में प्रवेश करें।;ادخل المنزل.;বাড়িতে ঢোকো।;Masuk ke rumah.;เข้าบ้าน;Vào nhà.
;;examineSnowman;Kardan adamları incele.;Examine snowmen.;Examinar muñecos de nieve.;Examinar bonecos de neve.;Schneemänner untersuchen.;Examiner les bonshommes de neige.;Esamina i pupazzi di neve.;Zbadaj bałwany.;Осмотрите снеговиков.;检查雪人。;檢查雪人。;雪だるまを調べる。;눈사람을 조사하다.;स्नोमैन की जांच करें।;افحص رجال الثلج.;তুষারমানবদের পরীক্ষা করুন।;Periksa manusia salju.;ตรวจสอบตุ๊กตาหิมะ.;Kiểm tra người tuyết.
;;guestRoom;Misafir Odası;Guest Room;Habitación de invitados;Quarto de hóspedes;Gästezimmer;Chambre d'amis;Camera degli ospiti;Pokój gościnny;Гостевая комната;客房;客房;客室;손님 방;अतिथि कक्ष;غرفة الضيوف;অতিথি ঘর;Kamar tamu;ห้องพักแขก;Phòng khách.
;;kitchen;Mutfak;Kitchen;Cocina;Cozinha;Küche;Cuisine;Cucina;Kuchnia;Кухня;厨房;廚房;キッチン;부엌;रसोई;مطبخ;রান্নাঘর;Dapur;ห้องครัว;Nhà bếp.
;;unknownRoom;Bilinmeyen Oda;Unknown Room;Habitación desconocida;Quarto desconhecido;Unbekannter Raum;Pièce inconnue;Stanza sconosciuta;Nieznany pokój;Неизвестная комната;未知的房间;未知的房間;未知の部屋;알 수 없는 방;अज्ञात कक्ष;غرفة غير معروفة;অজানা ঘর;Ruang tak dikenal;ห้องที่ไม่รู้จัก;Phòng không xác định.
1;Althea;houseIsCompleted;Sanırım evi tamamen keşfettim. Burada yapacak bir şey kalmadı.;I think I've explored this house completely. Nothing left to do here.;Creo que he explorado completamente esta casa. No queda nada por hacer aquí.;Acho que explorei completamente esta casa. Nada mais a fazer aqui.;Ich glaube, ich habe dieses Haus komplett erkundet. Es gibt hier nichts mehr zu tun.;Je pense que j'ai complètement exploré cette maison. Il n'y a plus rien à faire ici.;Penso di aver esplorato completamente questa casa. Non c'è più niente da fare qui.;Myślę, że całkowicie zbadałem ten dom. Nie ma tu już nic do zrobienia.;Думаю, я полностью исследовал этот дом. Здесь больше нечего делать.;我想我已经完全探索了这所房子。这里没有什么可做的了。;我想我已經完全探索了這所房子。這裡沒有什麼可做的了。;家の探検を完全に終えたと思います。ここではもうやることはありません。;나는 이 집을 완전히 탐험한 것 같아. 여기에 할 일이 없다.;मुझे लगता है कि मैंने इस घर का पूरी तरह से अन्वेषण किया है। यहां करने के लिए कुछ नहीं बचा है।;أعتقد أنني استكشفت هذا المنزل بالكامل. لا يوجد شيء متبقي للقيام به هنا.;আমি মনে করি আমি সম্পূর্ণরূপে এই বাড়ির অনুসন্ধান করেছি। এখানে আর কিছু করার নেই।;Saya rasa saya telah menjelajahi rumah ini sepenuhnya. Tidak ada lagi yang perlu dilakukan di sini.;ฉันคิดว่าฉันได้สำรวจบ้านหลังนี้อย่างสมบูรณ์แล้ว ไม่มีอะไรเหลือให้ทำที่นี่;Tôi nghĩ tôi đã khám phá hết căn nhà này. Không còn gì để làm ở đây.
1;Althea;maybeIFindSomeone;Oh! Belki biriyle karşılaşırım!;Oh! Maybe I find someone!;¡Oh! ¡Tal vez encuentre a alguien!;Oh! Talvez eu encontre alguém!;Oh! Vielleicht finde ich jemanden!;Oh! Peut-être que je trouverai quelqu'un!;Oh! Forse trovo qualcuno!;Oh! Może znajdę kogoś!;О! Может быть, я кого-то найду!;哦！也许我会找到某人！;哦！也許我會找到某人！;ああ！誰か見つけるかも！;오! 누군가를 찾을지도 몰라!;ओह! शायद मुझे कोई मिल जाए!;أوه! ربما أجد شخصًا!;ওহ! হয়তো আমি কারো সাথে দেখা করব!;Oh! Mungkin saya menemukan seseorang!;โอ้! บางทีฉันอาจจะเจอใครบางคน!;Ồ! Có thể tôi sẽ tìm thấy ai đó!
;;knock;Tıkla;Knock;Llama;Bater;Klopfen;Frapper;Bussare;Pukać;Стучать;敲;敲;ノックする;두드리다;खटखटाओ;يطرق;ঠক ঠক;Ketuk;เคาะ;Gõ cửa.
;;ringTheBell;Zili çal;Ring the Bell;Toca el timbre;Toque a campainha;Klingeln;Sonnez la cloche;Suona il campanello;Zadzwoń dzwonkiem;Позвонить в звонок;按铃;按鈴;ベルを鳴らす;벨을 울리다;घंटी बजाओ;يرن الجرس;ঘণ্টা বাজান;Tekan bel;กดกริ่ง;Nhấn chuông.
;;tryOpenTheGate;Kapıyı açmaya çalış;Try Open the Gate;Intenta abrir la puerta;Tente abrir o portão;Versuchen, das Tor zu öffnen;Essayez d'ouvrir le portail;Prova ad aprire il cancello;Spróbuj otworzyć bramę;Попробовать открыть ворота;试图打开大门;試圖打開大門;門を開けようとする;문을 열려고 노력하다;दरवाजा खोलने की कोशिश करो;حاول فتح البوابة;দরজা খোলার চেষ্টা করো;Coba buka gerbang;ลองเปิดประตู;Cố gắng mở cổng.
;;punchTheDoor;Kapıya yumruk at;Punch the Door;Golpea la puerta;Dê um soco na porta;Schlag die Tür;Frappez la porte;Dai un pugno alla porta;Uderz w drzwi;Ударь в дверь;打门;打門;ドアを殴る;문을 치다;दरवाजे पर मुक्का मारें;اضرب الباب;দরজায় ঘুষি মারুন;Pukul pintu;ต่อยประตู;Đấm vào cửa.
1;Althea;hmmNothingHappens;Hmm. *duraksar* Hiçbir şey olmadı.;Hmm. *pauses* Nothing happened.;Hmm. *pausa* No pasó nada.;Hmm. *pausa* Nada aconteceu.;Hmm. *pause* Es ist nichts passiert.;Hmm. *pause* Il ne s'est rien passé.;Hmm. *pausa* Non è successo niente.;Hmm. *pauza* Nic się nie stało.;Хм. *пауза* Ничего не произошло.;嗯。*暂停* 什么都没发生。;嗯。*暫停* 什麼都沒發生。;うーん。*停止* 何も起こらなかった。;흠. *잠시 멈춤* 아무 일도 없었다.;हम्म। *ठहराव* कुछ नहीं हुआ।;هممم. *توقف* لم يحدث شيء.;হুম। *থেমে যায়* কিছুই ঘটেনি।;Hmm. *berhenti sejenak* Tidak ada yang terjadi.;ฮึม. *หยุด* ไม่มีอะไรเกิดขึ้น;Hừm. *tạm dừng* Không có gì xảy ra.
;;punch;Yumruk At;Punch;Golpea;Soque;Schlag;Frappez;Dai un pugno;Uderz;Ударь;打;打;パンチ;펀치;मुक्का मारना;لكمة;ঘুষি মারো;Pukul;ชก;Đấm.
1;Althea;haveIStrong;Hep bu kadar güçlü müydüm?;Have I always been this strong?;¿Siempre he sido tan fuerte?;Sempre fui tão forte assim?;War ich schon immer so stark?;Ai-je toujours été aussi fort?;Sono sempre stato così forte?;Czy zawsze byłem tak silny?;Я всегда был таким сильным?;我一直都这么强壮吗？;我一直都這麼強壯嗎？;私はいつもこんなに強かったの？;나는 항상 이렇게 강했나?;क्या मैं हमेशा इतना मजबूत था?;هل كنت دائمًا بهذه القوة؟;আমি কি সবসময় এত শক্তিশালী ছিলাম?;Apakah saya selalu sekuat ini?;ฉันเคยแข็งแกร่งขนาดนี้ไหม?;Tôi đã luôn mạnh mẽ như thế này sao?
1;Althea;whichDoorShouldIPick;Hangi kapıyı seçmeliyim?;Which door do I pick?;¿Qué puerta elijo?;Qual porta eu escolho?;Welche Tür soll ich nehmen?;Quelle porte devrais-je choisir?;Quale porta dovrei scegliere?;Które drzwi mam wybrać?;Какую дверь мне выбрать?;我应该选哪扇门？;我應該選哪扇門？;どのドアを選ぶべきですか？;어떤 문을 선택해야 할까?;मुझे कौन सा दरवाजा चुनना चाहिए?;أي باب يجب أن أختار؟;আমি কোন দরজা বেছে নেব?;Pintu mana yang harus saya pilih?;ฉันควรเลือกประตูไหน?;Tôi nên chọn cánh cửa nào?
;;altheaEntersHouse;*Eve girer*;*She enters the House*;*Entra en la casa*;*Ela entra na casa*;*Sie betritt das Haus*;*Elle entre dans la maison*;*Entra nella casa*;*Wchodzi do domu*;*Она входит в дом*;*她进了房子*;*她進了房子*;*彼女は家に入る*;*그녀는 집에 들어간다*;*वह घर में प्रवेश करती है*;*تدخل المنزل*;*সে বাড়িতে প্রবেশ করে*;*Dia memasuki rumah*;*เธอเข้าไปในบ้าน*;*Cô ấy bước vào nhà*
1;Althea;whatAnAmazingPlace;Ne kadar muhteşem bir yer!;What an amazing place!;¡Qué lugar tan asombroso!;Que lugar incrível!;Was für ein erstaunlicher Ort!;Quel endroit incroyable!;Che posto incredibile!;Co za niesamowite miejsce!;Какое удивительное место!;多么神奇的地方啊！;多麼神奇的地方啊！;なんて素晴らしい場所だ！;정말 멋진 곳이야!;क्या ही अद्भुत स्थान है!;يا له من مكان رائع!;কি অসাধারণ জায়গা!;Tempat yang luar biasa!;ช่างเป็นสถานที่ที่น่าอัศจรรย์!;Thật là một nơi tuyệt vời!
1;Althea;filledWithPresents;Burası hediyelerle dolu! Acaba bu evde kaç çocuk yaşıyordu?;The place is filled with presents. I wonder how many children lived here?;El lugar está lleno de regalos. Me pregunto cuántos niños vivieron aquí.;O lugar está cheio de presentes. Eu me pergunto quantas crianças viviam aqui?;Der Ort ist voller Geschenke. Ich frage mich, wie viele Kinder hier gelebt haben?;L'endroit est rempli de cadeaux. Je me demande combien d'enfants vivaient ici?;Il posto è pieno di regali. Mi chiedo quanti bambini vivevano qui?;Miejsce jest pełne prezentów. Zastanawiam się, ile dzieci tutaj mieszkało?;Место заполнено подарками. Интересно, сколько детей здесь жило?;这里到处都是礼物。我想知道这里住了多少孩子？;這裡到處都是禮物。我想知道這裡住了多少孩子？;この場所はプレゼントでいっぱいです。ここには何人の子供が住んでいたのでしょうか？;여기는 선물로 가득 차 있어. 여기에 몇 명의 아이들이 살았을까?;यह जगह उपहारों से भरी हुई है। मुझे आश्चर्य है कि यहाँ कितने बच्चे रहते थे?;المكان مليء بالهدايا. أتساءل كم عدد الأطفال الذين عاشوا هنا؟;এখানে উপহার দিয়ে ভরা। এখানে কত শিশু থাকতো?;Tempat ini penuh dengan hadiah. Saya bertanya-tanya berapa banyak anak yang tinggal di sini?;ที่นี่เต็มไปด้วยของขวัญ ฉันสงสัยว่ามีเด็กอยู่ที่นี่กี่คน?;Nơi này đầy quà tặng. Tôi tự hỏi có bao nhiêu đứa trẻ đã sống ở đây?
1;Althea;isThisMirrorAPresent;Bu ayna da bir hediye mı?;Is this mirror also a present?;¿Este espejo también es un regalo?;Este espelho também é um presente?;Ist dieser Spiegel auch ein Geschenk?;Ce miroir est-il aussi un cadeau?;Anche questo specchio è un regalo?;Czy to lustro też jest prezentem?;Это зеркало тоже подарок?;这面镜子也是礼物吗？;這面鏡子也是禮物嗎？;この鏡もプレゼントなの？;이 거울도 선물인가요?;क्या यह दर्पण भी एक उपहार है?;هل هذه المرآة أيضًا هدية؟;এই আয়নাটিও কি একটি উপহার?;Apakah cermin ini juga hadiah?;กระจกนี้ก็เป็นของขวัญด้วยหรือเปล่า?;Chiếc gương này cũng là một món quà sao?
1;Althea;whoIsThisMonster;Bu canavar da kim?;Who is this monster?;¿Quién es este monstruo?;Quem é esse monstro?;Wer ist dieses Monster?;Qui est ce monstre?;Chi è questo mostro?;Kim jest tym potworem?;Кто это монстр?;这个怪物是谁？;這個怪物是誰？;このモンスターは誰？;이 괴물은 누구지?;यह राक्षस कौन है?;من هو هذا الوحش؟;এই দৈত্য কে?;Siapa monster ini?;สัตว์ประหลาดนี้คือใคร?;Con quái vật này là ai?
1;Althea;amIAMonster;*Korkar* Ben bir canavar mıyım?;*Scared* Am I a monster?;*Asustado* ¿Soy un monstruo?;*Assustado* Eu sou um monstro?;*Erschrocken* Bin ich ein Monster?;*Effrayé* Suis-je un monstre?;*Spaventato* Sono un mostro?;*Przestraszony* Czy jestem potworem?;*Напуганный* Я монстр?;*害怕* 我是怪物吗？;*害怕* 我是怪物嗎？;*怖がる* 私はモンスターですか？;*겁에 질려* 내가 괴물이야?;*डरते हुए* क्या मैं एक राक्षस हूँ?;*خائف* هل أنا وحش؟;*ভীত* আমি কি একটি দৈত্য?;*Takut* Apakah saya monster?;*ตกใจ* ฉันเป็นสัตว์ประหลาดหรือเปล่า?;*Sợ hãi* Tôi có phải là quái vật không?
